[2020-05-26 22:43:13] [DEBUG   ] --- Looking at Dafydd Elis-Thomas's membership (Q333841-38D2A983-3E48-4C17-950A-4F1DF94EB05B): (memberships.py:88)
[2020-05-26 22:43:13] [DEBUG   ] --- Creating parlparse ID for Dafydd Elis-Thomas's membership (Q333841-38D2A983-3E48-4C17-950A-4F1DF94EB05B) (memberships.py:126)
[2020-05-26 22:43:13] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70050 (memberships.py:129)
[2020-05-26 22:43:13] [DEBUG   ] --- Looking at Dafydd Elis-Thomas's membership (Q333841-EE838FBD-7792-41A2-8FF4-8CD7991602D0): (memberships.py:88)
[2020-05-26 22:43:13] [DEBUG   ] --- Creating parlparse ID for Dafydd Elis-Thomas's membership (Q333841-EE838FBD-7792-41A2-8FF4-8CD7991602D0) (memberships.py:126)
[2020-05-26 22:43:13] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70051 (memberships.py:129)
[2020-05-26 22:43:13] [DEBUG   ] --- Looking at Alun Ffred Jones's membership (Q3405595-C9434FF7-0E6C-4F87-A2CE-CDEB3DEC8C35): (memberships.py:88)
[2020-05-26 22:43:13] [DEBUG   ] --- Creating parlparse ID for Alun Ffred Jones's membership (Q3405595-C9434FF7-0E6C-4F87-A2CE-CDEB3DEC8C35) (memberships.py:126)
[2020-05-26 22:43:13] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70052 (memberships.py:129)
[2020-05-26 22:43:13] [DEBUG   ] --- Looking at Christine Gwyther's membership (Q5111036-337FF3DA-A2FD-4EC8-9F22-67575CF48AE6): (memberships.py:88)
[2020-05-26 22:43:13] [DEBUG   ] --- Creating parlparse ID for Christine Gwyther's membership (Q5111036-337FF3DA-A2FD-4EC8-9F22-67575CF48AE6) (memberships.py:126)
[2020-05-26 22:43:13] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70053 (memberships.py:129)
[2020-05-26 22:43:13] [DEBUG   ] --- Looking at Christine Gwyther's membership (Q5111036-45EF5C52-06C4-4279-990E-AD1905B9B7FC): (memberships.py:88)
[2020-05-26 22:43:13] [DEBUG   ] --- Creating parlparse ID for Christine Gwyther's membership (Q5111036-45EF5C52-06C4-4279-990E-AD1905B9B7FC) (memberships.py:126)
[2020-05-26 22:43:13] [DEBUG   ] --- Parlparse ID is uk.org.publicwhip/member/70054 (memberships.py:129)
[2020-05-26 22:43:13] [DEBUG   ] --- Looking at Gareth Jones's membership (Q5522883-ACB2302B-DBD5-42DF-B791-A7DB06F0C867): (memberships.py:88)
